timestamp,rain_mm
2024-07-10 00:00,2.0
2024-07-10 01:00,3.2
2024-07-10 02:00,4.5
2024-07-10 03:00,3.8
2024-07-10 04:00,2.1
2024-07-10 05:00,1.8
2024-07-10 06:00,2.5
2024-07-10 07:00,3.0
2024-07-10 08:00,4.2
2024-07-10 09:00,5.1
2024-07-10 10:00,6.0
2024-07-10 11:00,4.4
2024-07-10 12:00,3.5
2024-07-10 13:00,2.8
2024-07-10 14:00,2.2
2024-07-10 15:00,3.6
2024-07-10 16:00,4.8
2024-07-10 17:00,5.5
2024-07-10 18:00,4.2
2024-07-10 19:00,3.1
2024-07-10 20:00,2.6
2024-07-10 21:00,2.0
2024-07-10 22:00,1.5
2024-07-10 23:00,1.2

